Date,T1,T2,T3,T4,T5,Percent Change 24,Percent Change 48,Percent Change 72
9/6/2017,1,0,0,0,0,5.04,0.06,-8.01
9/5/2017,1,0,0,-1,0,3.51,5.04,5.1
9/14/2017,-1,0,0,0,0,-18.59,15.3,14.9
9/12/2017,0,0,0,-1,0,-0.91,-6.01,-23.62
9/11/2017,-1,0,0,0,0,0.94,-0.73,-6.7
9/19/2017,0,0,0,-1,0,-3.65,-0.48,-7.49
9/16/2017,0,-1,0,0,0,-0.35,-1.16,12.14
9/21/2017,-1,0,0,0,0,-6.93,-0.01,4.44
9/13/2017,0,0,0,-2,0,-6.04,-18.74,-6.31
9/29/2017,-2,0,0,1,0,-0.2,4.22,5.78
9/27/2017,0,0,-1,-1,0,7.9,-0.62,-0.9
9/22/2017,0,0,0,1,0,0.07,4.45,1.44
9/26/2017,0,0,0,-1,0,-0.92,7.92,7.25
10/2/2017,0,0,1,0,0,0.31,-2.08,-4.08
10/10/2017,-1,0,0,0,0,0.12,0.93,13.9
10/5/2017,0,0,0,1,0,2.33,0.98,2.28
10/4/2017,0,0,0,0,-1,-2.08,2.34,3.34
10/13/2017,0,0,0,-1,0,3.35,3.27,0.55
10/16/2017,1,0,0,0,0,0.67,-2.1,-2.36
10/17/2017,0,0,0,-1,0,-2.37,-0.26,1.84
10/18/2017,-1,0,0,0,0,-0.23,2.11,7.53
10/21/2017,0,0,1,0,0,0.58,-0.38,-1.68
10/11/2017,0,0,0,2,0,0.78,12.85,17
10/20/2017,0,0,0,1,0,5.31,0.34,-0.05
10/31/2017,1,0,1,0,1,5.49,4.62,9.43
10/29/2017,1,0,0,0,0,6.94,-0.38,5.11
10/25/2017,1,0,0,0,0,4.09,2.68,0.52
10/27/2017,0,0,0,-1,0,-2.01,-0.48,6.45
11/2/2017,0,0,0,2,0,4.44,1.83,4.26
11/7/2017,-1,0,0,1,0,1.73,4.41,-0.01
11/9/2017,-1,0,0,-1,0,-4.07,-7.36,-11
11/6/2017,0,0,0,1,0,-5.14,1.73,6.22
11/1/2017,0,0,1,0,0,5.07,4.6,6.51
11/4/2017,0,0,0,1,0,3.01,0.37,-4.84
11/12/2017,0,0,0,0,-1,-5.49,10.24,11.52
11/16/2017,0,0,1,0,0,7.49,-2.07,-1.04
11/17/2017,0,0,0,1,0,-1.84,1.05,4.25
11/29/2017,0,0,1,-3,0,-1.87,3.49,10.99
